,id,title,original_language,release_date,genre_ids,popularity,vote_average,vote_count
212,895953,Beyond the Summit,es,2022-03-25,"[18, 12, 53]",215.796,6.0,5
213,354912,Coco,en,2017-10-27,"[10751, 16, 14, 10402, 35, 12]",221.821,8.2,15999
214,833593,2037,ko,2022-06-08,"[10751, 18]",187.903,5.7,3
215,589754,The Last Warrior: Root of Evil,ru,2021-01-01,"[14, 12, 35]",204.156,7.0,114
216,632357,The Unholy,en,2021-03-31,"[27, 9648]",202.564,6.7,1693
217,818750,The In Between,en,2022-02-11,"[10749, 878, 18]",210.07,7.3,404
218,770509,The Nights Belong to Monsters,es,2021-10-09,"[14, 18]",215.005,5.4,4
219,12444,Harry Potter and the Deathly Hallows: Part 1,en,2010-10-17,"[12, 14]",209.19,7.8,16306
220,379686,Space Jam: A New Legacy,en,2021-07-08,"[10751, 16, 35, 878]",225.869,7.0,3246
221,293660,Deadpool,en,2016-02-09,"[28, 12, 35]",197.604,7.6,27130
222,703771,Deathstroke: Knights & Dragons - The Movie,en,2020-08-04,"[16, 28, 12, 878]",212.841,6.9,358
223,126963,Dragon Ball Z: Battle of Gods,ja,2013-03-30,"[16, 28, 878]",208.524,6.8,1243
224,919689,War of the Worlds: Annihilation,en,2021-12-22,"[878, 28]",189.035,5.5,58
225,504827,The Bob's Burgers Movie,en,2022-05-26,"[16, 12, 35]",182.346,7.0,126
226,284053,Thor: Ragnarok,en,2017-10-24,"[28, 12, 14, 878, 35]",196.85,7.6,18069
227,816977,They/Them,en,2022-07-24,"[27, 53]",282.867,5.6,58
228,482321,Ron's Gone Wrong,en,2021-10-15,"[16, 878, 10751, 35]",198.805,8.1,1356
229,755433,The Monster at the End of This Story,en,2020-10-29,"[10751, 16]",220.361,3.0,3
230,753232,The Commando,en,2022-01-07,"[28, 80, 53]",188.244,6.2,84
231,839678,Unhuman,en,2022-06-03,"[27, 35]",199.054,5.5,30
232,14836,Coraline,en,2009-02-05,"[16, 10751, 14]",213.674,7.8,5947
233,39108,Dragon Ball Z: Wrath of the Dragon,ja,1995-07-15,"[16, 28, 878]",197.752,7.2,520
234,276907,Legend,en,2015-09-09,"[80, 53]",201.331,7.0,3113
235,592350,My Hero Academia: Heroes Rising,ja,2019-12-20,"[16, 28, 14, 12]",192.455,8.3,950
236,10195,Thor,en,2011-04-21,"[12, 14, 28]",181.874,6.8,18621
237,745376,"Hello, Goodbye, and Everything in Between",en,2022-07-06,"[10749, 18]",195.936,6.1,94
